144# Number of sensors
#x	z
28	44	21	37	3.19	0.0331348
28	44	37	20	-2.8	0.0335714
28	44	20	36	2.37	0.0342194
28	44	36	19	-2.18	0.0345872
27	43	26	42	95.49	0.0301047
27	43	42	25	-70.4	0.030142
27	43	25	41	42.1	0.0302375
27	43	41	24	-32.52	0.0303075
27	43	24	40	21.99	0.0304548
27	43	40	23	-17.53	0.0305705
27	43	23	39	12.71	0.0307868
27	43	39	22	-10.4	0.0309615
27	43	22	38	7.28	0.0313736
27	43	38	21	-6.17	0.0316207
27	43	21	37	4.95	0.0320202
27	43	37	20	-4.27	0.0323419
27	43	20	36	3.55	0.0328169
27	43	36	19	-3.24	0.0330864
27	43	19	35	2.85	0.0335088
27	43	35	18	-2.7	0.0337037
26	42	25	41	99.73	0.0301003
26	42	41	24	-72.48	0.030138
26	42	24	40	43.52	0.0302298
26	42	40	23	-33.29	0.0303004
26	42	23	39	22.69	0.0304407
26	42	39	22	-17.99	0.0305559
26	42	22	38	13.36	0.0307485
26	42	38	21	-11.04	0.0309058
26	42	21	37	7.81	0.0312804
26	42	37	20	-6.56	0.0315244
26	42	20	36	5.33	0.0318762
26	42	36	19	-4.79	0.0320877
26	42	19	35	4.15	0.0324096
26	42	35	18	-3.92	0.032551
26	42	18	34	3.68	0.0327174
26	42	34	17	-3.46	0.0328902
25	41	24	40	102.97	0.0300971
25	41	40	23	-74.52	0.0301342
25	41	23	39	44.8	0.0302232
25	41	39	22	-34.24	0.0302921
25	41	22	38	23.77	0.0304207
25	41	38	21	-19.17	0.0305216
25	41	21	37	14.31	0.0306988
25	41	37	20	-11.73	0.0308525
25	41	20	36	8.23	0.0312151
25	41	36	19	-7.27	0.0313755
25	41	19	35	6.16	0.0316234
25	41	35	18	-5.77	0.0317331
25	41	18	34	5.36	0.0318657
25	41	34	17	-5.01	0.031996
25	41	17	33	4.87	0.0320534
24	40	23	39	105.71	0.0300946
24	40	39	22	-76.55	0.0301306
24	40	22	38	47.03	0.0302126
24	40	38	21	-36.69	0.0302726
24	40	21	37	25.49	0.0303923
24	40	37	20	-20.28	0.0304931
24	40	20	36	14.93	0.0306698
24	40	36	19	-12.95	0.0307722
24	40	19	35	9.48	0.0310549
24	40	35	18	-8.79	0.0311377
24	40	18	34	8.04	0.0312438
24	40	34	17	-7.47	0.0313387
24	40	17	33	7.17	0.0313947
23	39	22	38	116.03	0.0300862
